Genotype,Replicate,Sc,Tmes,Fias,Tcw,gmc,Tleaf
WT,1,8.498693233,212.6581707,0.396101216,175.8680958,0.412169588,25
WT,2,7.752294471,175.3773092,0.354572854,171.6797243,0.412169588,25
WT,3,7.716984473,220.429187,0.33440578,200.099522,0.412169588,25
WT,4,9.152379196,185.3609308,0.365106723,173.4008095,0.412169588,25
8,1,8.526378388,180.0604555,0.36828104,147.6224649,0.558977445,25
8,2,8.654046401,196.4701191,0.430947626,150.7633069,0.558977445,25
8,3,9.155343744,221.1247679,0.42358742,170.3278802,0.558977445,25
8,4,9.014813319,189.7128753,0.399358538,151.7147939,0.558977445,25
10,1,8.95411524,197.7793705,0.385570736,154.0562191,0.521908711,25
10,2,9.308393825,240.0685883,0.382130505,178.4834722,0.521908711,25
10,3,10.0958573,213.4745641,0.418537496,157.5448076,0.521908711,25
10,4,9.191796266,240.5060467,0.40891716,169.230149,0.521908711,25
14,1,9.884285945,189.8393879,0.418746839,164.8042346,0.503146937,25
14,2,7.971538772,245.5083138,0.395355326,145.9609316,0.503146937,25
14,3,8.035387812,244.9231377,0.427050398,180.9405364,0.503146937,25
14,4,8.404795818,200.6054345,0.410752346,173.3165732,0.503146937,25
