RECORD,year,doy,hour,time,time_zone_offset,precip,rh,solar,temp,windspeed
39660,2022,121,0,121,-6,0,0.869,0,12.45,NA
39661,2022,121,0.166666667,121.0069444,-6,0,0.875,0,12.06,NA
39662,2022,121,0.333333333,121.0138889,-6,0,0.872,0,11.74,NA
39663,2022,121,0.5,121.0208333,-6,0,0.882,0,11.24,NA
39664,2022,121,0.666666667,121.0277778,-6,0,0.7996,0,12.67,NA
39665,2022,121,0.833333333,121.0347222,-6,0,0.82,0,12.43,3.058
39666,2022,121,1,121.0416667,-6,0,0.819,0,12.36,3.199
39667,2022,121,1.166666667,121.0486111,-6,0,0.7759,0,12.83,5.456
39668,2022,121,1.333333333,121.0555556,-6,0,0.7512,0,12.76,7.169
39669,2022,121,1.5,121.0625,-6,0,0.7592,0,12.38,6.503
39670,2022,121,1.666666667,121.0694444,-6,0,0.7631,0,12.13,5.781
39671,2022,121,1.833333333,121.0763889,-6,0,0.7686,0,11.83,4.872
39672,2022,121,2,121.0833333,-6,0,0.7656,0,11.7,4.682
39673,2022,121,2.166666667,121.0902778,-6,0,0.7666,0,11.66,4.118
39674,2022,121,2.333333333,121.0972222,-6,0,0.7788,0,11.55,3.607
39675,2022,121,2.5,121.1041667,-6,0,0.7719,0,11.66,4.327
39676,2022,121,2.666666667,121.1111111,-6,0,0.7764,0,11.66,3.381
39677,2022,121,2.833333333,121.1180556,-6,0,0.7801,0,11.7,3.81
39678,2022,121,3,121.125,-6,0,0.7937,0,11.51,3.336
39679,2022,121,3.166666667,121.1319444,-6,0,0.7812,0,11.69,4.587
39680,2022,121,3.333333333,121.1388889,-6,0,0.7853,0,11.59,4.736
39681,2022,121,3.5,121.1458333,-6,0,0.7948,0,11.42,4.748
39682,2022,121,3.666666667,121.1527778,-6,0,0.7834,0,11.55,4.909
39683,2022,121,3.833333333,121.1597222,-6,0,0.7872,0,11.48,4.196
39684,2022,121,4,121.1666667,-6,0,0.7873,0,11.45,3.829
39685,2022,121,4.166666667,121.1736111,-6,0,0.812,0,11.18,3.094
39686,2022,121,4.333333333,121.1805556,-6,0,0.811,0,11.07,2.777
39687,2022,121,4.5,121.1875,-6,0,0.812,0,11.03,2.952
39688,2022,121,4.666666667,121.1944444,-6,0,0.819,0,10.9,3.069
39689,2022,121,4.833333333,121.2013889,-6,0,0.843,0,10.41,1.95
39690,2022,121,5,121.2083333,-6,0,0.831,8.510638298,10.59,1.434
39691,2022,121,5.166666667,121.2152778,-6,0,0.84,17.0212766,10.54,1.794
39692,2022,121,5.333333333,121.2222222,-6,0,0.858,25.53191489,10.52,1.318
39693,2022,121,5.5,121.2291667,-6,0,0.871,27.65957447,10.47,1.572
39694,2022,121,5.666666667,121.2361111,-6,0,0.871,53.19148936,10.41,2.414
39695,2022,121,5.833333333,121.2430556,-6,0,0.871,95.74468085,10.38,2.264
39696,2022,121,6,121.25,-6,0,0.844,157.4468085,10.81,4.205
39697,2022,121,6.166666667,121.2569444,-6,0,0.836,140.4255319,10.79,5.007
39698,2022,121,6.333333333,121.2638889,-6,0,0.821,229.787234,10.95,5.808
39699,2022,121,6.5,121.2708333,-6,0,0.809,174.4680851,11.11,5.406
39700,2022,121,6.666666667,121.2777778,-6,0,0.805,197.8723404,11.18,4.607
39701,2022,121,6.833333333,121.2847222,-6,0,0.817,219.1489362,11.09,4.868
39702,2022,121,7,121.2916667,-6,0,0.808,255.3191489,11.21,4.376
39703,2022,121,7.166666667,121.2986111,-6,0,0.7924,261.7021277,11.45,5.485
39704,2022,121,7.333333333,121.3055556,-6,0,0.7864,270.212766,11.5,5.793
39705,2022,121,7.5,121.3125,-6,0,0.7896,308.5106383,11.53,6.382
39706,2022,121,7.666666667,121.3194444,-6,0,0.7914,344.6808511,11.62,6.867
39707,2022,121,7.833333333,121.3263889,-6,0,0.7897,348.9361702,11.68,7.013
39708,2022,121,8,121.3333333,-6,0,0.7929,400,11.79,7.024
39709,2022,121,8.166666667,121.3402778,-6,0,0.7889,491.4893617,11.96,7.261
39710,2022,121,8.333333333,121.3472222,-6,0,0.7809,512.7659574,12.05,8.02
39711,2022,121,8.5,121.3541667,-6,0,0.7798,402.1276596,12.15,7.422
39712,2022,121,8.666666667,121.3611111,-6,0,0.7656,427.6595745,12.13,7.985
39713,2022,121,8.833333333,121.3680556,-6,0,0.7644,536.1702128,12.2,7.95
39714,2022,121,9,121.375,-6,0,0.7467,572.3404255,12.33,8.92
39715,2022,121,9.166666667,121.3819444,-6,0,0.7432,329.787234,12.24,8.78
39716,2022,121,9.333333333,121.3888889,-6,0,0.7325,319.1489362,12.15,8.84
39717,2022,121,9.5,121.3958333,-6,0,0.733,317.0212766,12.1,7.986
39718,2022,121,9.666666667,121.4027778,-6,0,0.7338,368.0851064,12.16,7.798
39719,2022,121,9.833333333,121.4097222,-6,0,0.7424,285.106383,12.05,8.6
39720,2022,121,10,121.4166667,-6,0,0.7607,270.212766,11.74,9.36
39721,2022,121,10.16666667,121.4236111,-6,0,0.7663,308.5106383,11.66,8.73
39722,2022,121,10.33333333,121.4305556,-6,0,0.7689,291.4893617,11.52,9.42
39723,2022,121,10.5,121.4375,-6,0,0.7671,338.2978723,11.49,9.63
39724,2022,121,10.66666667,121.4444444,-6,0,0.76,374.4680851,11.46,8.59
39725,2022,121,10.83333333,121.4513889,-6,0,0.7527,431.9148936,11.44,8.96
39726,2022,121,11,121.4583333,-6,0,0.7474,621.2765957,11.61,9.01
39727,2022,121,11.16666667,121.4652778,-6,0,0.7525,551.0638298,11.76,8.58
39728,2022,121,11.33333333,121.4722222,-6,0,0.7495,353.1914894,11.7,8.4
39729,2022,121,11.5,121.4791667,-6,0,0.7496,287.2340426,11.66,8.49
39730,2022,121,11.66666667,121.4861111,-6,0,0.7389,368.0851064,11.6,9.24
39731,2022,121,11.83333333,121.4930556,-6,0,0.7411,544.6808511,11.74,9.22
39732,2022,121,12,121.5,-6,0,0.739,746.8085106,12,9.12
39733,2022,121,12.16666667,121.5069444,-6,0,0.7322,521.2765957,12.04,9.29
39734,2022,121,12.33333333,121.5138889,-6,0,0.7303,504.2553191,12.07,9.08
39735,2022,121,12.5,121.5208333,-6,0,0.7174,321.2765957,12.21,9.24
39736,2022,121,12.66666667,121.5277778,-6,0,0.7126,276.5957447,12.12,8.91
39737,2022,121,12.83333333,121.5347222,-6,0,0.7149,357.4468085,12.09,7.52
39738,2022,121,13,121.5416667,-6,0,0.7152,506.3829787,12.25,7.544
39739,2022,121,13.16666667,121.5486111,-6,0,0.7055,412.7659574,12.41,7.764
39740,2022,121,13.33333333,121.5555556,-6,0,0.7005,348.9361702,12.46,7.969
39741,2022,121,13.5,121.5625,-6,0,0.6955,217.0212766,12.48,8.21
39742,2022,121,13.66666667,121.5694444,-6,0,0.7009,180.8510638,12.44,7.587
39743,2022,121,13.83333333,121.5763889,-6,0,0.7031,172.3404255,12.45,8.6
39744,2022,121,14,121.5833333,-6,0,0.7014,397.8723404,12.44,8.64
39745,2022,121,14.16666667,121.5902778,-6,0,0.717,468.0851064,12.34,8.5
39746,2022,121,14.33333333,121.5972222,-6,0,0.7085,521.2765957,12.46,8.12
39747,2022,121,14.5,121.6041667,-6,0,0.6963,419.1489362,12.57,9.25
39748,2022,121,14.66666667,121.6111111,-6,0,0.694,357.4468085,12.66,8.01
39749,2022,121,14.83333333,121.6180556,-6,0,0.6866,355.3191489,12.76,8.72
39750,2022,121,15,121.625,-6,0,0.6831,334.0425532,12.78,8.74
39751,2022,121,15.16666667,121.6319444,-6,0,0.687,389.3617021,12.83,7.669
39752,2022,121,15.33333333,121.6388889,-6,0,0.6907,446.8085106,13.04,7.17
39753,2022,121,15.5,121.6458333,-6,0,0.6753,393.6170213,13.22,8.57
39754,2022,121,15.66666667,121.6527778,-6,0,0.6657,442.5531915,13.37,8.39
39755,2022,121,15.83333333,121.6597222,-6,0,0.6604,340.4255319,13.31,7.67
39756,2022,121,16,121.6666667,-6,0,0.6597,270.212766,13.16,8.34
39757,2022,121,16.16666667,121.6736111,-6,0,0.6549,246.8085106,13.06,8.71
